time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2179939555634154e-06,-9.973700436785711e-08,10.005317998222893,6.2829406390731855,0.0007846300426370689,0.0,-9.428212175583892e-05,-1.5396199446564976e-05,0.17725495164381533,-0.013827150521835283,0.031147053247219045,0.0,459.2308548866291,461.6943627431751,461.6031118592442,460.51094067246265
0.12000000000000001,-3.278888304359316e-05,-9.77650007223815e-06,10.02128405196892,6.282440751691286,0.0025345511765095807,0.0,-0.0011637955065146443,-0.0003805656224274277,0.3549074557316365,0.0008619895053068429,0.024874794242917934,0.0,461.04676431599995,460.5512372414041,460.4846520331593,461.64508463810364
0.18,-0.0001586534472804888,-4.726883684338644e-05,10.044746031314661,6.282297630422557,0.004326584344781281,0.0,-0.003193871499180791,-0.0008727005045505833,0.42713326042921945,-0.009833844107750052,0.038339669686853164,0.0,428.06484275391784,429.2092492891514,428.106324307935,427.19546009456013
0.23999999999999996,-0.0004405606698768161,-0.00011852469055517944,10.071682785598522,6.28172803390985,0.006164342549345392,0.0,-0.0064043780731794335,-0.0015567723570907898,0.4707401552615004,-0.008820688939580735,0.007056728143320095,0.0,420.4245996563369,417.70613266989466,418.5492921639653,418.6375615420545
0.3,-0.0009458862413487739,-0.00024197903539828282,10.101673004345733,6.281347304120725,0.0062991921374635496,0.0,-0.010468645610253161,-0.0026015340001766694,0.5289079868259274,-0.0018051174767487283,-0.00971606611661135,0.0,424.9840300224401,423.54414102884704,422.76896352794824,423.3730156459283
0.36000000000000004,-0.0017106542092281537,-0.0004386076081975079,10.137621816517134,6.281348630966718,0.006536217145606926,0.0,-0.015013889119951732,-0.0039581475512641415,0.6693135355508972,0.0034470027036075674,0.0225880460800625,0.0,448.5463360024941,451.1617475638447,449.6418826412354,450.0671077486741
0.4200000000000001,-0.0027409741037625864,-0.0007103941894487792,10.179212161728284,6.281146599774328,0.007682334462398188,0.0,-0.019448869008023943,-0.0050957605083217766,0.7170014205687809,-0.02268831057069436,0.011014070870796349,0.0,420.5046026669904,419.50091592608896,422.0340038266431,419.7725015321104
0.48000000000000015,-0.004072291711480085,-0.001063835575520944,10.225620530854652,6.280216308222471,0.008465735441656186,0.0,-0.02500314908364892,-0.006801494472101525,0.8298676748795598,-0.004037435012454597,0.016857288718348365,0.0,441.8165610876653,442.2978775153225,440.20179748010935,441.7423080268205
0.5400000000000001,-0.005767112596657741,-0.0015395279561039978,10.280245209732403,6.280147982762614,0.009092471309525507,0.0,-0.03158612263639311,-0.009071168719549702,0.9908280100477075,0.0041063501608791944,-0.007201621596060812,0.0,457.16560874666357,455.2447445207995,456.58746759886395,457.2366607896142
0.6000000000000002,-0.007839981375656066,-0.002142751958225103,10.341748585506194,6.2804201208332415,0.008259617405733444,0.0,-0.03745269851475103,-0.011010876634602668,1.0592238335693582,0.005380711827319437,-0.03262472731939354,0.0,429.3949318835599,427.23306570605087,427.1713940593182,427.27995545229174
0.6600000000000003,-0.010281202446301648,-0.0028690283999092945,10.41222519004609,6.281323357466114,0.006110599735729139,0.0,-0.043671614821021235,-0.013117466598731541,1.2897671052489774,0.029537234692646717,-0.04311730946485573,0.0,477.93446753061795,477.13368222462543,476.8614374087858,478.7028596084181
0.7200000000000003,-0.013043114374432344,-0.00369469272147901,10.497052924053177,6.282850198115343,0.0030537149061524715,0.0,-0.04805161871422053,-0.014197932655327535,1.537526563604338,0.01566506584614728,-0.0751548313854414,0.0,484.002296027918,481.5835759599991,483.9896240044104,482.9445951483129
0.7800000000000004,-0.01596845228125379,-0.0045497221233493194,10.590651692924098,0.0003766756249872216,6.281714707639658,0.0,-0.04903583629629917,-0.014224277901592293,1.5823721842520129,0.0029016766007082233,-0.07591052464630228,0.0,421.53037783250386,421.46026388836356,421.8810050763981,420.77751054479836
0.8400000000000004,-0.018864550137394673,-0.005395018269250314,10.687916633773302,0.00016746403353451456,6.277240253940805,0.0,-0.04705596134100937,-0.013949320149676427,1.6596822974418606,-0.02104213034133995,-0.07202869495614182,0.0,432.1013019584167,432.4238652616263,432.9985741697386,430.979761092001
0.9000000000000005,-0.021521232419826966,-0.00623355975884991,10.794610370254201,6.282153587732161,6.27313844250461,0.0,-0.04098892951992523,-0.014152361991028333,1.8964103674872546,-0.017954523378892067,-0.06189279441298907,0.0,480.51757707084795,481.2821008561976,480.8459139370067,481.07980235912635
0.9600000000000005,-0.023751036600426465,-0.007109029973828472,10.912129255792209,6.281092683779619,6.269366545011504,0.0,-0.032945098773041026,-0.015142571900957354,2.020670135720787,-0.01714169183023783,-0.06488285804840452,0.0,448.86786008336503,448.62233271302557,447.2550476084876,447.321312383593
1.0200000000000005,-0.025419822615875155,-0.008065868753450755,11.036918073808637,6.280205633126958,6.265736657042048,0.0,-0.02229175751535339,-0.016851402362069026,2.138737785987879,-0.010443239107199236,-0.05292404643425025,0.0,446.9003542210503,447.87137817988844,445.4512967700101,445.99879875563477
1.0800000000000005,-0.026424548346566632,-0.009134109212080405,11.16604225191935,6.279561480499817,6.262149979334792,0.0,-0.010897060557329061,-0.018814340089834996,2.1653455560639245,-0.011327667280495522,-0.07925563225169914,0.0,419.9552965105855,417.66209342995495,416.36351785834,416.2862528078611
