episode,score
1,730.0154334789981
2,730.013613723085
3,730.0134767462296
4,648.8676267839339
5,648.8580285369605
6,648.8548961642226
7,648.8498498781407
8,648.848562380489
9,648.8387149065301
10,648.8315513840485
11,648.8311659864538
12,648.8299487505346
13,621.8335606535884
14,648.8430880481822
15,675.8318007088847
16,675.839724608228
17,729.8703207546733
18,729.890753866293
19,729.8849205418647
20,675.868904558063
21,675.8816970543478
22,675.8779424213157
23,702.9091650486615
24,675.8294506306
25,675.8453258639402
26,675.7734045663743
27,675.8032785454825
28,675.7899835642614
29,675.7800844692902
30,675.7754689304118
31,675.7706640524848
32,648.7640669065967
33,648.7659215816112
34,648.7668121947282
35,648.7713147290556
36,648.7765348424982
37,675.7866424055856
38,702.8019715167214
39,729.8220713436218
40,729.8248501954336
41,756.8574853095146
42,702.8478297799977
43,675.8242440452135
44,648.8140162131579
45,648.8200073150595
46,648.8291040266068
47,675.8300904571192
48,702.8170436105631
49,729.7825615118157
50,594.75998856513
51,594.7816012948788
52,648.796251837713
53,621.8035649464426
54,594.7672755215635
55,621.7865071123506
56,621.7706876484418
57,702.861203581816
58,729.8499872142835
59,729.8354977086431
60,648.7192923503005
61,675.7153123392562
62,621.7140056400277
63,648.7473372125659
64,621.7456945346032
65,648.7590174046476
66,648.7517086000473
67,648.7348855934008
68,621.7467665757218
69,621.7428346060173
70,648.7512275560673
71,675.772308187073
72,648.7728969563278
73,675.774975420221
74,702.8110647157216
75,702.7524536832829
76,648.7162569442849
77,621.7286224715716
78,621.7266632166986
79,621.7270097469203
80,621.7130452885068
81,621.7113127251827
82,648.7158676763759
83,675.725117524677
84,675.7375011670438
85,675.7499050454194
86,675.7636125225512
87,675.7729499051926
88,675.7784200262832
89,675.7772728569813
90,702.780914635216
91,675.7865987770889
92,702.7887445877113
93,675.7706451995833
94,675.7878898581122
95,702.793021553145
96,648.7347313260086
97,675.7400520763861
98,648.719961751292
99,621.7209241983498
100,648.7199592193425
101,648.7351562020244
102,648.735639638156
103,621.7351517885829
104,621.7361975158383
105,621.7302389812852
106,621.7208503161341
107,648.723962604398
108,621.7153023078162
109,648.715448149418
110,648.7206056940513
111,648.7230536286287
112,675.7786922155103
113,702.7649294857861
114,675.787155828298
115,675.7792141627514
116,675.7803894688308
117,702.8219859530516
118,702.8157286724484
119,702.8031289696228
120,702.8036677280619
121,675.7929969029228
122,675.7797984037304
123,702.8240307717508
124,675.7641670414705
125,702.821604362226
126,675.7819129188202
127,648.7618102336106
128,675.7730322789944
129,675.7615368642046
130,675.7719964810951
131,702.8096627974178
132,675.7553001286018
133,675.7578419558517
134,648.7372055412551
135,621.7197506388121
136,621.7198052827047
137,621.7105191676255
138,648.701652583563
139,675.7282673691566
140,675.7311230512842
141,675.7606316893992
142,675.7221682561585
143,648.6980999169392
144,621.6966610737364
145,621.6888653420334
146,648.6846736278258
147,675.679343163524
148,675.6846352994357
149,702.868026610033
150,675.8118859116281
151,621.7346188234056
152,648.7232109036446
153,675.7340331227737
154,675.7795129002247
155,730.0090766897391
156,702.8423782893086
157,621.8014479039535
158,621.7073661879878
159,648.6927501628863
160,675.736366763141
161,675.7354006025105
162,675.7361416483392
163,675.7243880404345
164,675.7294638135883
165,702.7652059199057
166,675.7500435905487
167,567.6791022429746
168,540.6506043722243
169,567.6582073660244
170,540.603655953733
171,567.5932341245822
172,729.6303896854477
173,729.6858111437015
174,783.7203439393413
175,783.723323122056
176,756.7236838344323
177,783.7512975589282
178,837.7696961889005
179,810.7546152070279
180,756.7129409450611
181,648.6436404463609
182,648.6301058931498
183,594.5981362906379
184,702.617399295056
185,837.6668844294607
186,648.6885857614043
187,783.6989824543275
188,837.7844748674039
189,864.7251813530835
190,702.920746266535
191,729.8512791234
192,783.8573087224293
193,621.8083472874896
194,675.8528413090189
195,702.8929855590164
196,918.9452664129581
197,702.841216597728
198,702.7943178913855
199,702.8430785084072
200,783.8771618246504
201,756.9380788853218
202,783.9598869828288
203,757.0292982503823
204,702.78659446438
205,783.8080962029726
206,702.7685708986646
207,729.8211804169952
208,702.7909263600172
209,729.8330102721139
210,729.8359236328743
211,675.8039400370649
212,702.7996521603051
213,756.884767733083
214,756.8866513143289
215,675.8092637558977
216,675.8575823839207
217,702.8343678267933
218,702.8618575482409
219,811.0129966318469
220,864.896981302734
221,837.962776215117
222,865.1178911404857
223,838.1100812125692
224,784.0378317558584
225,756.9891451513734
226,756.9812605646674
227,756.9926883168542
228,756.979512650228
229,811.0279395301285
230,757.0030874604693
231,865.0077555887049
232,864.9810766019481
233,891.986868810866
234,864.99878105386
235,837.9758142156668
236,810.8597863617598
237,810.8544225895401
238,810.8325341329922
239,810.8487932431347
240,756.836662826751
241,783.8484881688735
242,783.9526253545014
243,864.9728303816663
244,756.9423980890291
245,702.7150072953644
246,729.7159617530865
247,729.7131241319255
248,621.7263285667115
249,621.7392463359017
250,621.7527051388593
251,621.7523014408955
252,621.7490354634649
253,621.7547006947337
254,621.74760652852
255,811.0119490448111
256,675.8834099432622
257,675.8715128487462
258,675.8447650431857
259,756.9976159440157
260,702.925742511803
261,702.9148384951122
262,729.9435305243181
263,702.8936336889282
264,621.759846944465
265,675.7580571716477
266,675.7654355022589
267,648.7696969824018
268,621.7324349275851
269,594.7140135390674
270,621.7301640953411
271,621.7305091133215
272,567.7161628208783
273,567.7183282702783
274,567.7475399494607
275,567.7337529873162
276,567.7382746474522
277,567.7231222721471
278,567.7354534611558
279,594.725829675854
280,675.8283930656489
281,621.7259864639616
282,594.7298352492601
283,594.7393378368998
284,594.7282294963727
285,594.7304704580232
286,594.734458245574
287,594.7334540385928
288,648.7988906821387
289,648.8126424841255
290,675.8389081051063
291,730.0124466602941
292,729.990175839397
293,757.0554419237048
294,919.3540300094375
295,946.1660800179883
296,865.058787156909
297,865.0097045120207
298,810.939279234484
299,810.8980447391871
300,810.8545347543728
